"","state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","fips","percent_incarcerated_20","percent_incarcerated_10","percent_incarcerated_00"
"311","OK","Tulsa County",669279,1177,603403,2188,563299,1215,40143,0.175860889106038,0.362610063257889,0.21569361919691
"312","OK","Wagoner County",80981,81,73085,80,57491,37,40145,0.100023462293624,0.109461585824725,0.0643578994973126
"313","OK","Washington County",52455,130,50976,103,48996,51,40147,0.247831474597274,0.202055869428751,0.104090129806515
"314","OK","Washita County",10924,27,11629,31,11508,19,40149,0.247162211644086,0.266574941955456,0.165102537365311
"315","OK","Woods County",8624,454,8878,585,9089,431,40151,5.26437847866419,6.58932191935121,4.74199581912202
"316","OK","Woodward County",20470,1036,20081,1096,18486,543,40153,5.06106497313141,5.45789552313132,2.93735800064914
"317","NE","Adams County",31205,28,31364,28,31151,215,31001,0.08972921006249,0.0892743272541768,0.690186510866425
"318","NE","Antelope County",6295,20,6685,6,7452,3,31003,0.317712470214456,0.0897531787584144,0.0402576489533011
"319","NE","Arthur County",434,0,460,0,444,0,31005,0,0,0
"320","NE","Banner County",674,0,690,0,819,0,31007,0,0,0
"321","NE","Blaine County",431,0,478,0,583,0,31009,0,0,0
"322","NE","Boone County",5379,5,5505,2,6259,5,31011,0.092954080684142,0.036330608537693,0.0798849656494648
"323","NE","Box Butte County",10842,18,11308,11,12158,14,31013,0.166021029330382,0.0972762645914397,0.115150518177332
"324","NE","Boyd County",1810,0,2099,0,2438,0,31015,0,0,0
"325","NE","Brown County",2903,5,3145,0,3525,1,31017,0.17223561832587,0,0.0283687943262411
"326","NE","Buffalo County",50084,216,46102,96,42259,63,31019,0.431275457231851,0.208233916099085,0.14908066920656
"327","NE","Burt County",6722,0,6858,0,7791,0,31021,0,0,0
"328","NE","Butler County",8369,14,8395,30,8767,0,31023,0.167284024375672,0.357355568790947,0
"329","NE","Cass County",26598,71,25241,90,24334,0,31025,0.266937363711557,0.35656273523236,0
"330","NE","Cedar County",8380,9,8852,4,9615,6,31027,0.107398568019093,0.0451875282422052,0.062402496099844
"331","NE","Chase County",3893,0,3966,0,4068,0,31029,0,0,0
"332","NE","Cherry County",5455,8,5713,3,6148,7,31031,0.146654445462878,0.0525118151584106,0.113858165256994
"333","NE","Cheyenne County",9468,11,9998,7,9830,11,31033,0.116180819602873,0.0700140028005601,0.111902339776195
"334","NE","Clay County",6104,12,6542,5,7039,5,31035,0.196592398427261,0.0764292265362275,0.0710328171615286
"335","NE","Colfax County",10582,0,10515,0,10441,9,31037,0,0,0.0861986399770137
"336","NE","Cuming County",9013,0,9139,0,10203,0,31039,0,0,0
"337","NE","Custer County",10545,4,10939,6,11793,10,31041,0.0379326695116169,0.0548496206234574,0.0847960654625625
"338","NE","Dakota County",21582,80,21006,65,20253,30,31043,0.370679269761839,0.309435399409693,0.148126203525404
"339","NE","Dawes County",8199,30,9182,16,9060,13,31045,0.365898280278083,0.174253975168809,0.143487858719647
"340","NE","Dawson County",24111,79,24326,95,24365,122,31047,0.327651279498984,0.390528652470608,0.5007182433819
"341","NE","Deuel County",1838,0,1941,0,2098,0,31049,0,0,0
"342","NE","Dixon County",5606,17,6000,8,6339,5,31051,0.303246521584017,0.133333333333333,0.0788767944470737
"343","NE","Dodge County",37167,0,36691,44,36160,28,31053,0,0.119920416450901,0.0774336283185841
"344","NE","Douglas County",584526,2115,517110,2170,463585,1696,31055,0.361831637942538,0.419639921873489,0.365844451395106
"345","NE","Dundy County",1654,0,2008,0,2292,0,31057,0,0,0
"346","NE","Fillmore County",5551,1,5890,6,6634,4,31059,0.0180147721131328,0.101867572156197,0.0602954476936991
"347","NE","Franklin County",2889,0,3225,1,3574,1,31061,0,0.0310077519379845,0.0279798545047566
"348","NE","Frontier County",2519,3,2756,3,3099,3,31063,0.119094878920206,0.108853410740203,0.0968054211035818
"349","NE","Furnas County",4636,4,4959,2,5324,2,31065,0.0862812769628991,0.0403307118370639,0.0375657400450789
"350","NE","Gage County",21704,17,22311,25,22993,9,31067,0.0783265757464062,0.112052350858321,0.0391423476710303
"351","NE","Garden County",1874,0,2057,0,2292,0,31069,0,0,0
"352","NE","Garfield County",1813,0,2049,0,1902,0,31071,0,0,0
"353","NE","Gosper County",1893,0,2044,0,2143,0,31073,0,0,0
"354","NE","Grant County",611,0,614,0,747,0,31075,0,0,0
"355","NE","Greeley County",2188,0,2538,0,2714,0,31077,0,0,0
"356","NE","Hall County",62895,226,58607,225,53534,112,31079,0.359329040464266,0.383913184431894,0.209212836701909
"357","NE","Hamilton County",9429,10,9124,9,9403,5,31081,0.10605578534309,0.0986409469530908,0.0531745187706051
"358","NE","Harlan County",3073,7,3423,3,3786,1,31083,0.227790432801822,0.0876424189307625,0.0264131008980454
"359","NE","Hayes County",856,0,967,0,1068,0,31085,0,0,0
