state,county,latitude,longitude,fips,total_population_20,incarcerated_20,percent_incarcerated_20,total_population_10,incarcerated_10,percent_incarcerated_10,total_population_00,incarcerated_00,percent_incarcerated_00
PA,Blair County,40.4531318,-78.3842227,42013,122822,272,0.2214586963,127089,281,0.221104895,129144,210,0.1626091804
PA,Bradford County,29.9723818,-82.1713632,42015,59967,156,0.2601430787,62622,86,0.1373319281,62761,116,0.1848281576
PA,Bucks County,40.4107964,-75.2479061,42017,646538,792,0.1224986002,625249,1039,0.1661737964,597635,798,0.1335263162
PA,Butler County,39.440463,-84.5222189,42019,193763,243,0.1254109402,183862,205,0.111496666,174083,153,0.08788911037
PA,Cambria County,40.4894231,-78.7476208,42021,133472,1409,1.055652122,143679,2931,2.039964087,152598,2481,1.625840444
PA,Cameron County,26.1284971,-97.5247243,42023,4547,0,0,5085,0,0,5974,6,0.1004352193
PA,Carbon County,39.6479807,-110.6168921,42025,64749,208,0.3212404825,65249,159,0.2436818955,58802,137,0.2329852726
PA,Centre County,40.8765649,-77.8367282,42027,158172,4592,2.903168702,153990,2352,1.527371907,135758,2071,1.525508626
PA,Chester County,40.0010204,-75.8069082,42029,534413,554,0.1036651429,498886,894,0.1791992559,433501,654,0.1508647039
PA,Clarion County,41.1982095,-79.4703885,42031,37241,66,0.1772240273,39988,83,0.2075622687,41765,73,0.1747875015
PA,Clearfield County,40.9519685,-78.5660852,42033,80562,4805,5.964350438,81642,4243,5.197079934,83382,2162,2.592885755
PA,Clinton County,42.9663458,-84.5222189,42035,37450,157,0.4192256342,39238,326,0.8308272593,37914,155,0.408819961
PA,Columbia County,33.5098514,-82.2583297,42037,64727,155,0.2394673011,67295,192,0.2853109443,64151,137,0.2135586351
PA,Crawford County,41.6661391,-80.2767327,42039,83938,1315,1.566632514,88765,1197,1.348504478,90366,786,0.8697961623
PA,Cumberland County,34.9542604,-78.7476208,42041,259469,3125,1.204382797,235406,3852,1.636321929,213674,3666,1.715697745
PA,Dauphin County,40.2734277,-76.7336521,42043,286401,1471,0.5136155251,268100,1390,0.51846326,251798,1376,0.5464697893
PA,Delaware County,39.907793,-75.3878525,42045,576830,2390,0.4143335125,558979,2774,0.4962619347,550864,2287,0.4151659938
PA,Elk County,41.4284924,-78.5660852,42047,30990,41,0.1323007422,31946,51,0.1596443999,35112,60,0.1708817498
PA,Erie County,42.9023958,-78.8661589,42049,270876,2876,1.061740427,280566,2948,1.050733161,280843,2574,0.9165263154
PA,Fayette County,33.4502206,-84.4802606,42051,128804,2168,1.683177541,136606,2186,1.600222538,148644,153,0.1029304916
PA,Forest County,45.6704497,-88.8375807,42053,6973,2653,38.04675176,7716,2179,28.24002074,4946,0,0
PA,Franklin County,40.0154745,-82.9931607,42055,155932,0,0,149618,12,0.00802042535,129313,309,0.2389550935
PA,Fulton County,33.8033965,-84.3962535,42057,14556,0,0,14845,0,0,14261,0,0
PA,Greene County,39.697399,-83.8897057,42059,35954,1820,5.062023697,38686,1906,4.926846921,40672,2212,5.438630999
PA,Huntingdon County,40.4155273,-78.0195387,42061,44092,3336,7.565998367,45913,3223,7.019798314,45586,3205,7.03066731
PA,Indiana County,40.6850762,-79.1096901,42063,83246,1047,1.257718089,88880,1005,1.130738074,89605,69,0.07700463144
PA,Jefferson County,39.5800298,-105.2662931,42065,44492,131,0.2944349546,45200,96,0.2123893805,45932,53,0.1153879648
PA,Juniata County,40.5521642,-77.4242972,42067,23509,0,0,24636,39,0.1583049196,22821,24,0.1051662942
PA,Lackawanna County,41.4421199,-75.5742467,42069,215896,1019,0.471986512,214437,877,0.4089779282,213295,608,0.2850512201
PA,Lancaster County,40.8471492,-96.663812,42071,552984,696,0.1258625928,519445,959,0.1846201234,470658,1029,0.2186300881
PA,Lawrence County,44.310653,-103.7979877,42073,86070,107,0.1243174161,91108,223,0.2447644554,94643,232,0.2451317055
PA,Lebanon County,40.3666686,-76.5025742,42075,143257,52,0.03629840078,133568,442,0.3309175851,120327,447,0.371487696
PA,Lehigh County,40.6519679,-75.5742467,42077,374557,687,0.1834166762,349497,1309,0.374538265,312090,1368,0.4383350956
PA,Luzerne County,41.1404353,-75.9927652,42079,325594,3512,1.078643955,320918,4004,1.247670745,319250,3798,1.189663273
PA,Lycoming County,41.2720004,-77.1024902,42081,114188,1562,1.367919571,116111,1815,1.563159391,120044,2062,1.717703509
PA,McKean County,41.8133351,-78.4751945,42083,40432,890,2.201226751,43450,1518,3.493670886,45936,1420,3.091257402
PA,Mercer County,40.3028533,-74.7337069,42085,110652,1559,1.408921664,116638,1596,1.36833622,120293,1051,0.873700049
PA,Mifflin County,40.652279,-77.6077865,42087,46143,136,0.2947359296,46682,55,0.1178184311,46486,57,0.1226175623
PA,Monroe County,43.2841246,-77.7452081,42089,168327,333,0.1978292253,169842,368,0.2166719657,138687,241,0.1737725958
PA,Montgomery County,39.1547426,-77.2405153,42091,856553,4393,0.5128696064,799874,5208,0.6511025487,750097,5011,0.6680469326
PA,Montour County,41.0262303,-76.6874701,42093,18136,27,0.1488751654,18267,22,0.1204357585,18236,25,0.1370914674
PA,Northampton County,40.7749283,-75.294569,42095,312951,556,0.1776635959,297735,713,0.2394747007,267066,621,0.2325267911
PA,Northumberland County,40.8674339,-76.6874701,42097,91647,2471,2.696214824,94528,2151,2.275516249,94556,1787,1.889885359
PA,Perry County,40.371376,-77.2405153,42099,45842,106,0.231229004,45969,113,0.2458178338,43602,76,0.174303931
PA,Philadelphia County,39.9525839,-75.1652215,42101,1603797,5616,0.3501690052,1526006,10393,0.6810589211,1517550,7102,0.46799117
PA,Pike County,41.3361875,-75.0611147,42103,58535,250,0.4270949005,57369,335,0.5839390612,46302,202,0.436266252
PA,Potter County,35.404373,-101.9804613,42105,16396,39,0.2378628934,17457,46,0.2635046113,18080,22,0.1216814159
PA,Schuylkill County,40.6873058,-76.1783739,42107,143049,4899,3.424700627,148289,5127,3.457437841,150336,4585,3.049835036
PA,Snyder County,40.750748,-77.0564464,42109,39736,89,0.2239782565,39702,433,1.090625157,37546,153,0.4075001332
PA,Somerset County,40.5292099,-74.6400432,42111,74129,3834,5.172064914,77742,3662,4.710452522,80023,2239,2.797945591
PA,Sullivan County,36.4933147,-82.345189,42113,5840,0,0,6428,0,0,6556,0,0
PA,Susquehanna County,41.745553,-75.8069082,42115,38434,48,0.1248894208,43356,53,0.1222437494,42238,62,0.1467872532
PA,Tioga County,42.1256317,-76.3637285,42117,41045,39,0.09501766354,41981,81,0.1929444272,41373,50,0.1208517632
PA,Union County,34.9338651,-80.543845,42119,42681,3535,8.28237389,44947,5672,12.61930718,41624,5321,12.78349029
PA,Venango County,41.3896611,-79.8296743,42121,50454,51,0.1010821739,54984,131,0.2382511276,57565,200,0.3474333362
PA,Warren County,39.4241422,-84.1857115,42123,38587,120,0.3109855651,41815,285,0.681573598,43863,63,0.1436290267
PA,Washington County,44.8896877,-92.8577105,42125,209349,303,0.1447343909,207820,355,0.1708209027,202897,225,0.1108937047
PA,Wayne County,42.2790746,-83.336188,42127,51155,2750,5.375818591,52822,3196,6.050509258,47722,1150,2.409790034
PA,Westmoreland County,40.2353963,-79.4703885,42129,354663,583,0.1643813987,365169,1544,0.4228179281,369993,1424,0.3848721462
PA,Wyoming County,42.642052,-78.2020387,42131,26069,56,0.2148145307,28276,58,0.2051209506,28080,53,0.1887464387
PA,York County,34.9871367,-81.2518833,42133,456438,1686,0.3693820409,434972,2592,0.5959004258,381751,1433,0.375375572
AR,Arkansas County,34.2354138,-91.2891036,5001,17149,93,0.5423056738,19019,80,0.4206319996,20749,67,0.3229071281
AR,Ashley County,33.1565939,-91.7538817,5003,19062,0,0,21853,80,0.3660824601,24209,45,0.1858812838
AR,Baxter County,36.3261815,-92.3813621,5005,41627,83,0.1993898191,41513,51,0.1228530822,38386,41,0.1068097744
AR,Benton County,46.3166362,-119.5021582,5007,284333,393,0.138218216,221339,46,0.02078260045,153406,247,0.1610106515
AR,Boone County,40.0106163,-86.4996546,5009,37373,93,0.2488427474,36903,72,0.1951060889,33948,37,0.1089902203
AR,Bradley County,35.1937778,-84.8567932,5011,10545,0,0,11508,53,0.4605491832,12600,18,0.1428571429
AR,Calhoun County,42.2073905,-85.023346,5013,4739,19,0.4009284659,5368,27,0.5029806259,5744,24,0.4178272981
AR,Carroll County,39.5423418,-77.0564464,5015,28260,48,0.16985138,27446,95,0.3461342272,25357,31,0.1222542099
AR,Chicot County,33.3419551,-91.2891036,5017,10208,632,6.191222571,11800,578,4.898305085,14117,535,3.789757031
AR,Clark County,36.0795613,-115.094045,5019,21446,28,0.1305604775,22995,43,0.1869971733,23546,51,0.2165972989
AR,Clay County,29.9943564,-81.7787021,5021,14552,25,0.171797691,16083,71,0.4414599266,17609,28,0.1590095974
AR,Cleburne County,35.4605769,-92.0665197,5023,24711,19,0.07688883493,25970,80,0.3080477474,24046,26,0.1081260917
AR,Cleveland County,35.254964,-97.3516558,5025,7550,0,0,8689,0,0,8571,3,0.03500175009
AR,Columbia County,33.5098514,-82.2583297,5027,22801,81,0.3552475769,24552,54,0.219941349,25603,36,0.1406085224
AR,Conway County,35.2727492,-92.6983868,5029,20715,26,0.1255129133,21273,1,0.004700794434,20336,52,0.2557041699
AR,Craighead County,35.8260959,-90.6773046,5031,111231,209,0.1878972589,96443,438,0.4541542673,82148,228,0.2775478405
AR,Crawford County,41.6661391,-80.2767327,5033,60133,152,0.2527730198,61948,117,0.1888680829,53247,79,0.1483651661
AR,Crittenden County,35.3021443,-90.3748354,5035,48163,105,0.2180096755,50902,299,0.5874032455,50866,251,0.4934533873
AR,Cross County,35.2998913,-90.8294002,5037,16833,27,0.1603992158,17870,54,0.3021824287,19526,59,0.3021612209
AR,Dallas County,32.8024682,-96.8350999,5039,6482,85,1.311323666,8116,139,1.712666338,9210,136,1.476655809
AR,Desha County,33.8773585,-91.443469,5041,11395,0,0,13008,0,0,15341,0,0
AR,Drew County,33.5156463,-91.7538817,5043,17350,26,0.1498559078,18509,36,0.194499973,18723,68,0.3631896598
AR,Faulkner County,35.1035858,-92.3813621,5045,123498,72,0.05830053928,113237,735,0.6490811307,86014,143,0.1662520055
AR,Franklin County,40.0154745,-82.9931607,5047,17097,16,0.09358366965,18125,0,0,17771,0,0
AR,Fulton County,33.8033965,-84.3962535,5049,12075,3,0.0248447205,12245,7,0.05716619028,11642,10,0.08589589418
AR,Garland County,34.5559285,-93.1779659,5051,100180,241,0.2405669794,96024,249,0.2593101725,88068,318,0.3610846164
AR,Grant County,47.1981147,-119.3732456,5053,17958,76,0.4232097115,17853,63,0.3528818686,16464,69,0.4190962099
AR,Greene County,39.697399,-83.8897057,5055,45736,245,0.5356830506,42090,132,0.313613685,37331,90,0.2410864965
AR,Hempstead County,33.6530112,-93.6623239,5057,20065,47,0.2342387241,22609,51,0.2255738865,23587,49,0.2077415526
AR,Hot Spring County,34.3393795,-92.9775558,5059,33040,2168,6.561743341,32923,1092,3.31683018,30353,10,0.03294567259
AR,Howard County,39.2873463,-76.964306,5061,12785,5,0.03910833007,13789,0,0,14300,49,0.3426573427
AR,Independence County,35.8174139,-91.5983959,5063,37938,69,0.1818756919,36647,91,0.2483150053,34233,119,0.3476177957
AR,Izard County,36.1610924,-91.9099238,5065,13577,827,6.091183619,13696,602,4.395443925,13249,561,4.234281833
AR,Jackson County,38.9914998,-94.315422,5067,16755,2142,12.78424351,17997,1829,10.16280491,18418,1369,7.432946031
AR,Jefferson County,39.5800298,-105.2662931,5069,67260,4001,5.948557835,77435,3449,4.454058242,84278,3302,3.917985714
AR,Johnson County,32.4133566,-97.3516558,5071,25749,41,0.1592294846,25540,57,0.2231793265,22781,36,0.1580264255
AR,Lafayette County,42.6293203,-90.0746767,5073,6308,14,0.2219403932,7645,29,0.3793328973,8559,33,0.3855590606
AR,Lawrence County,44.310653,-103.7979877,5075,16216,0,0,17415,32,0.1837496411,17774,30,0.168785867
AR,Lee County,26.6630286,-81.9534815,5077,8600,1556,18.09302326,10424,1686,16.17421335,12580,1651,13.12400636
AR,Lincoln County,35.4637028,-81.2078164,5079,12941,3600,27.81856116,14134,3306,23.39040611,14492,3017,20.81838256
AR,Little River County,33.6808926,-94.19234,5081,12026,20,0.1663063363,13171,0,0,13628,14,0.1027296742
AR,Logan County,35.9404623,-97.5247243,5083,21131,24,0.1135772088,22353,27,0.1207891558,22486,18,0.08004980877
AR,Lonoke County,34.7591647,-91.9099238,5085,74015,203,0.2742687293,68356,64,0.09362747967,52828,72,0.1362913606
AR,Madison County,38.9041402,-89.9253233,5087,16521,0,0,15717,0,0,14243,0,0
AR,Marion County,29.2787765,-82.12784,5089,16826,22,0.1307500297,16653,16,0.0960787846,16140,7,0.04337050805
AR,Miller County,33.3335556,-93.8655303,5091,42600,888,2.084507042,43462,889,2.045465004,40443,593,1.466261158
AR,Mississippi County,35.8279728,-90.0746767,5093,40685,519,1.275654418,46480,475,1.021944923,51979,437,0.8407241386
AR,Monroe County,43.2841246,-77.7452081,5095,6799,14,0.2059126342,8149,22,0.2699717757,10254,26,0.2535595865
AR,Montgomery County,39.1547426,-77.2405153,5097,8484,10,0.1178689298,9487,8,0.08432591968,9245,4,0.04326663061
AR,Nevada County,39.1346666,-121.1710389,5099,8310,38,0.4572803851,8997,13,0.1444926086,9955,19,0.1908588649
AR,Newton County,33.5544296,-83.8473015,5101,7225,4,0.0553633218,8330,0,0,8608,4,0.04646840149
AR,Ouachita County,33.5828512,-92.9375739,5103,22650,135,0.5960264901,26120,50,0.191424196,28790,29,0.1007294199
AR,Perry County,40.371376,-77.2405153,5105,10019,8,0.07984828825,10445,0,0,10209,18,0.1763150162
AR,Phillips County,40.5371334,-102.3463875,5107,16568,27,0.1629647513,21757,65,0.2987544239,26445,69,0.2609188883
AR,Pike County,41.3361875,-75.0611147,5109,10171,55,0.5407531216,11291,56,0.4959702418,11303,12,0.1061665045
AR,Poinsett County,35.6078586,-90.6393702,5111,22965,20,0.08708904855,24583,87,0.3539031038,25614,143,0.558288436
AR,Polk County,27.8617347,-81.6911559,5113,19221,11,0.05722907237,20662,21,0.1016358533,20229,18,0.08898116565
AR,Pope County,45.5472257,-95.4363717,5115,63381,145,0.228775185,61754,171,0.2769051397,54469,69,0.1266775597
AR,Prairie County,34.7636336,-91.5983959,5117,8282,44,0.5312726395,8715,16,0.1835915089,9539,16,0.1677324667
AR,Pulaski County,34.7538615,-92.2236667,5119,399125,2598,0.650923896,382748,2254,0.5888992235,361474,2101,0.5812312919
AR,Randolph County,35.7449531,-79.8296743,5121,18571,48,0.2584675031,17969,32,0.1780844788,18195,13,0.07144820005
AR,St. Francis County,34.9926533,-90.7152749,5123,23090,3232,13.99740147,28258,3905,13.81909548,29329,2426,8.271676498
AR,Saline County,38.8174853,-97.6982272,5125,123416,486,0.3937901083,107118,421,0.393024515,83529,241,0.2885225491
AR,Scott County,44.6834072,-93.5407909,5127,9836,33,0.3355022367,11233,0,0,10996,5,0.04547108039
AR,Searcy County,35.9721,-92.6983868,5129,7828,14,0.1788451712,8195,11,0.1342281879,8261,6,0.07263043215
AR,Sebastian County,35.2260397,-94.315422,5131,127799,256,0.2003145565,125744,417,0.3316261611,115071,571,0.4962153801
AR,Sevier County,35.8271682,-83.5070203,5133,15839,56,0.3535576741,17058,29,0.1700082073,15757,7,0.04442470013
AR,Sharp County,36.1675974,-91.443469,5135,17271,21,0.1215911065,17264,25,0.1448100093,17119,7,0.04089023892
AR,Stone County,36.7748882,-93.4599326,5137,12359,30,0.2427380856,12394,24,0.1936420849,11499,30,0.2608922515
AR,Union County,34.9338651,-80.543845,5139,39054,156,0.3994469196,41639,186,0.4466966065,45629,117,0.2564158759
AR,Van Buren County,42.2459665,-86.0121573,5141,15796,20,0.1266143327,17295,50,0.2891008962,16192,30,0.1852766798
AR,Washington County,44.8896877,-92.8577105,5143,245871,653,0.2655864254,203065,665,0.3274813483,157715,335,0.2124084583
AR,White County,34.6567728,-83.7199136,5145,76822,0,0,77076,0,0,67165,146,0.217375121
AR,Woodruff County,35.1215846,-91.135302,5147,6269,22,0.3509331632,7260,8,0.1101928375,8741,12,0.1372840636
